scenario,time_limit_s,method,cost,terminal_violation,runtime_s
1,60.0,centralized_nlp,32.950587861801324,9.19672909813181,60.13859370001592
1,60.0,centralized_ga,2578.58961558152,7.071200165007937e-12,60.6644157001283
1,60.0,decentralized_island_ga,2447.9564856917086,7.0685648844927206e-12,189.59019650006667
1,300.0,centralized_nlp,35.32356867163471,9.192292506729082,300.1503568000626
1,300.0,centralized_ga,1373.1895143215693,7.100501912579968e-12,301.7554033000488
1,300.0,decentralized_island_ga,1317.2928932422058,7.0414245393382315e-12,915.0437674000859
1,600.0,centralized_nlp,38.62865319880527,9.190995761491747,600.3175709999632
1,600.0,centralized_ga,767.2588739867649,7.148256996084613e-12,606.0557524999604
1,600.0,decentralized_island_ga,670.9620226480592,7.090236366325744e-12,1811.093214099994
2,60.0,centralized_nlp,0.640002482157101,10.68249885926946,60.255333999870345
2,60.0,centralized_ga,29.865939777440843,1.414106785217485,60.10302030015737
2,60.0,decentralized_island_ga,29.51633908149113,1.4141067852181448,184.92938000010327
2,300.0,centralized_nlp,0.6400218673976903,10.682497943065524,300.2945677000098
2,300.0,centralized_ga,29.516339730966948,1.414106785218146,300.30606759991497
2,300.0,decentralized_island_ga,29.516339724744306,1.4141067852181453,904.8865622000303
2,600.0,centralized_nlp,0.6400427338154351,10.682497300676369,600.1360400000121
2,600.0,centralized_ga,29.516339568086174,1.414106785218146,600.0341161000542
2,600.0,decentralized_island_ga,29.51633924057393,1.414106785218146,1804.8558620000258
3,60.0,centralized_nlp,0.6400285779723656,8.681687286246667,60.491313399979845
3,60.0,centralized_ga,776.7206406756353,1.03373963664044e-11,61.31045260000974
3,60.0,decentralized_island_ga,772.7539479960805,1.042897258121214e-11,191.69416680000722
3,300.0,centralized_nlp,0.6402709059524789,8.681686227220698,300.5288178999908
3,300.0,centralized_ga,735.5348320642672,1.043072115799473e-11,301.1825953000225
3,300.0,decentralized_island_ga,764.0316716429732,1.0364471414375164e-11,917.3190892999992
3,600.0,centralized_nlp,0.6405047651055502,8.681685688556701,600.1694666000549
3,600.0,centralized_ga,729.6125490783495,1.0461046594380455e-11,600.3426635002252
3,600.0,decentralized_island_ga,742.8137789545667,1.046837272690181e-11,1807.177328800084
